fund_name,stock_name,sector,holding_pct,market_cap,fund_category
ICICI Prudential Large Cap Fund,ICICI Bank Ltd.,Private sector bank,9.42,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,HDFC Bank Ltd.,Private sector bank,9.16,Other,Large Cap
ICICI Prudential Large Cap Fund,Larsen & Toubro Ltd.,Civil construction,6.34,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Reliance Industries Ltd.,Refineries & marketing,5.98,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Axis Bank Ltd.,Private sector bank,4.61,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Bharti Airtel Ltd.,Telecom - cellular & fixed line services,4.11,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,3.89,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Infosys Ltd.,Computers - software & consulting,3.51,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Ultratech Cement Ltd.,Cement & cement products,3.41,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,National Thermal Power Corporation Ltd.,Power generation,2.55,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2.5,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,2.48,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Hero Motocorp Ltd.,2/3 wheelers,2.03,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Asian Paints (india) Ltd.,Paints,1.93,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,InterGlobe Aviation Ltd.,Airline,1.88,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Power Grid Corporation of India Ltd.,Power - transmission,1.42,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,ICICI Prudential Life Insurance Co Ltd.,Life insurance,1.38,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,SBI Life Insurance Co Ltd.,Life insurance,1.33,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,HDFC Life Insurance Company Ltd.,Life insurance,1.17,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,DLF Ltd.,Residential  commercial projects,1.16,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Oil & Natural Gas Corporation Ltd.,Oil exploration & production,1.11,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,ITC Limited,Diversified fmcg,1.01,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Hindustan Aeronautics Ltd.,Aerospace & defense,0.99,Other,Large Cap
ICICI Prudential Large Cap Fund,Wipro Ltd.,Computers - software & consulting,0.92,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Hyundai Motor India Ltd.,Passenger cars & utility vehicles,0.81,Other,Large Cap
ICICI Prudential Large Cap Fund,Shree Cement Ltd.,Cement & cement products,0.78,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Procter & Gamble Hygiene & Health Care Ltd.,Personal care,0.78,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Cummins India Ltd.,Compressors  pumps & diesel engines,0.74,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Siemens Ltd.,Heavy electrical equipment,0.69,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Bharat Petroleum Corporation Ltd.,Refineries & marketing,0.66,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,HDFC Asset Management Co. Ltd.,Asset management company,0.66,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,HCL Technologies Limited,Computers - software & consulting,0.62,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Dr. Reddys Laboratories Ltd.,Pharmaceuticals,0.61,Other,Large Cap
ICICI Prudential Large Cap Fund,United Spirits Ltd.,Breweries & distilleries,0.61,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,ABB India Ltd.,Heavy electrical equipment,0.61,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Tata Power Co. Ltd.,Integrated power utilities,0.6,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Bank Of Baroda,Public sector bank,0.59,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Bajaj Auto Ltd.,2/3 wheelers,0.59,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Eternal Ltd.,E-retail/ e-commerce,0.56,Other,Large Cap
ICICI Prudential Large Cap Fund,Vedanta Ltd.,Diversified metals,0.54,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Page Industries Ltd.,Garments & apparels,0.51,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Trent Limited,Speciality retail,0.51,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,United Breweries Ltd.,Breweries & distilleries,0.48,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Tech Mahindra Ltd.,Computers - software & consulting,0.47,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Info Edge (India) Ltd.,Internet & catalogue retail,0.46,Other,Large Cap
ICICI Prudential Large Cap Fund,Avenue Supermarts Ltd.,Diversified retail,0.46,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Tata Motors Passenger Vehicles Ltd.,Passenger cars & utility vehicles,0.45,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,TML Commercial Vehicles Ltd.,Commercial vehicles,0.4,Other,Large Cap
ICICI Prudential Large Cap Fund,Zydus Lifesciences Ltd.,Pharmaceuticals,0.38,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Lupin Ltd.,Pharmaceuticals,0.38,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Swiggy Ltd.,E-retail/ e-commerce,0.34,Other,Large Cap
ICICI Prudential Large Cap Fund,ICICI Lombard General Insurance Co Ltd.,General insurance,0.31,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Indian Oil Corporation Ltd.,Refineries & marketing,0.25,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Life Insurance Corporation Of India,Life insurance,0.25,Other,Large Cap
ICICI Prudential Large Cap Fund,NHPC Ltd.,Power generation,0.25,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Cipla Ltd.,Pharmaceuticals,0.25,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Supreme Industries Ltd.,Plastic products - industrial,0.23,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Hindustan Unilever Ltd.,Diversified fmcg,0.19,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Aurobindo Pharma Ltd.,Pharmaceuticals,0.18,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Ashok Leyland Ltd.,Commercial vehicles,0.13,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Oil India Ltd.,Oil exploration & production,0.1,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Bharti Airtel Ltd. - Partly Paid,Telecom - cellular & fixed line services,0.09,Other,Large Cap
ICICI Prudential Large Cap Fund,Gillette India Ltd.,Personal care,0.08,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,Tata Steel Ltd.,Iron & steel products,0.07,Other,Large Cap
ICICI Prudential Large Cap Fund,Apollo Hospitals Enterprises Ltd.,Hospital,0.07,Mid Cap,Large Cap
ICICI Prudential Large Cap Fund,GAIL (India) Ltd.,Gas transmission/marketing,0.07,Large Cap,Large Cap
ICICI Prudential Large Cap Fund,Hexaware Technologies Ltd.,Computers - software & consulting,0.07,Other,Large Cap
ICICI Prudential Large Cap Fund,Gujarat Pipavav Port Ltd.,Port & port services,0.06,Small Cap,Large Cap
ICICI Prudential Large Cap Fund,TVS Motor Company Ltd. - Preference Shares,2/3 wheelers,0.0,Other,Large Cap
SBI Large Cap Fund,ICICI Bank Ltd.,Private sector bank,8.2,Large Cap,Large Cap
SBI Large Cap Fund,HDFC Bank Ltd.,Private sector bank,6.54,Other,Large Cap
SBI Large Cap Fund,Reliance Industries Ltd.,Refineries & marketing,6.18,Large Cap,Large Cap
SBI Large Cap Fund,Larsen & Toubro Ltd.,Civil construction,5.73,Large Cap,Large Cap
SBI Large Cap Fund,State Bank Of India,Public sector bank,4.16,Large Cap,Large Cap
SBI Large Cap Fund,HDFC Life Insurance Company Ltd.,Life insurance,3.75,Large Cap,Large Cap
SBI Large Cap Fund,Asian Paints (india) Ltd.,Paints,3.57,Large Cap,Large Cap
SBI Large Cap Fund,TML Commercial Vehicles Ltd.,Commercial vehicles,3.48,Other,Large Cap
SBI Large Cap Fund,Kotak Mahindra Bank Ltd.,Private sector bank,3.46,Other,Large Cap
SBI Large Cap Fund,Axis Bank Ltd.,Private sector bank,3.44,Large Cap,Large Cap
SBI Large Cap Fund,Infosys Ltd.,Computers - software & consulting,3.16,Large Cap,Large Cap
SBI Large Cap Fund,Motherson Sumi Systems Ltd.,Auto components & equipments,2.78,Large Cap,Large Cap
SBI Large Cap Fund,Bharti Airtel Ltd.,Telecom - cellular & fixed line services,2.48,Large Cap,Large Cap
SBI Large Cap Fund,Divis Laboratories Ltd.,Pharmaceuticals,2.36,Large Cap,Large Cap
SBI Large Cap Fund,Avenue Supermarts Ltd.,Diversified retail,2.15,Large Cap,Large Cap
SBI Large Cap Fund,Cholamandalam Investment & Finance Co. Ltd.,Non banking financial company (nbfc),2.07,Other,Large Cap
SBI Large Cap Fund,Varun Beverages Ltd.,Other beverages,2.0,Other,Large Cap
SBI Large Cap Fund,Hindustan Unilever Ltd.,Diversified fmcg,1.94,Large Cap,Large Cap
SBI Large Cap Fund,Page Industries Ltd.,Garments & apparels,1.84,Mid Cap,Large Cap
SBI Large Cap Fund,Hindalco Industries Ltd.,Aluminium,1.84,Large Cap,Large Cap
SBI Large Cap Fund,Tata Steel Ltd.,Iron & steel products,1.81,Other,Large Cap
SBI Large Cap Fund,Shree Cement Ltd.,Cement & cement products,1.79,Large Cap,Large Cap
SBI Large Cap Fund,Mankind Pharma Ltd.,Pharmaceuticals,1.66,Other,Large Cap
SBI Large Cap Fund,Thermax Ltd.,Heavy electrical equipment,1.64,Mid Cap,Large Cap
SBI Large Cap Fund,Tech Mahindra Ltd.,Computers - software & consulting,1.6,Large Cap,Large Cap
SBI Large Cap Fund,Vedanta Ltd.,Diversified metals,1.37,Large Cap,Large Cap
SBI Large Cap Fund,Eternal Ltd.,E-retail/ e-commerce,1.29,Other,Large Cap
SBI Large Cap Fund,ICICI Prudential Asset Management Co. Ltd.,Investment company,1.2,Other,Large Cap
SBI Large Cap Fund,ICICI Prudential Life Insurance Co Ltd.,Life insurance,1.2,Large Cap,Large Cap
SBI Large Cap Fund,Schaeffler India Ltd.,Auto components & equipments,1.04,Other,Large Cap
SBI Large Cap Fund,Britannia Industries Ltd.,Packaged foods,1.03,Large Cap,Large Cap
SBI Large Cap Fund,Oil & Natural Gas Corporation Ltd.,Oil exploration & production,1.01,Large Cap,Large Cap
SBI Large Cap Fund,ITC Limited,Diversified fmcg,0.98,Large Cap,Large Cap
SBI Large Cap Fund,Eicher Motors Ltd.,2/3 wheelers,0.98,Other,Large Cap
SBI Large Cap Fund,Sona BLW Precision Forgings Ltd.,Auto components & equipments,0.97,Other,Large Cap
SBI Large Cap Fund,GAIL (India) Ltd.,Gas transmission/marketing,0.89,Large Cap,Large Cap
SBI Large Cap Fund,ICICI Lombard General Insurance Co Ltd.,General insurance,0.88,Large Cap,Large Cap
SBI Large Cap Fund,Brainbees Solutions Ltd.,E-retail/ e-commerce,0.8,Other,Large Cap
SBI Large Cap Fund,Pi Industries Ltd.,Pesticides & agrochemicals,0.64,Mid Cap,Large Cap
SBI Large Cap Fund,Motherson Sumi Wiring India Ltd.,Auto components & equipments,0.52,Other,Large Cap
SBI Large Cap Fund,SKF India (Industrial) Ltd.,Auto components & equipments,0.37,Other,Large Cap
SBI Large Cap Fund,SKF India Ltd.,Abrasives & bearings,0.25,Small Cap,Large Cap
SBI Large Cap Fund,Cipla Ltd.,Pharmaceuticals,0.18,Large Cap,Large Cap
SBI Large Cap Fund,Bharat Petroleum Corporation Ltd.,Refineries & marketing,0.07,Large Cap,Large Cap
SBI Large Cap Fund,Kwality Walls (India) Ltd.,Dairy products,0.02,Other,Large Cap
Nippon India Large Cap Fund,HDFC Bank Ltd.,Private sector bank,8.82,Other,Large Cap
Nippon India Large Cap Fund,ICICI Bank Ltd.,Private sector bank,7.02,Large Cap,Large Cap
Nippon India Large Cap Fund,Reliance Industries Ltd.,Refineries & marketing,5.3,Large Cap,Large Cap
